Date,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time
Oct 1-7,76,Fair,7h 40min,8h 14min,12:12 AM,8:09 AM
Sep 24-30,84,Good,7h 41min,8h 3min,12:56 AM,8:41 AM
Sep 17-23,84,Good,7h 57min,7h 56min,12:10 AM,8:30 AM
Sep 10-16,86,Good,7h 56min,8h 0min,12:10 AM,8:24 AM
Sep 3-9,84,Good,7h 49min,7h 57min,12:11 AM,8:26 AM
Aug 27 - Sep 2,71,Fair,7h 19min,8h 4min,12:41 AM,8:39 AM
Aug 20-26,80,Good,7h 26min,7h 50min,12:26 AM,8:22 AM
Aug 13-19,78,Fair,7h 42min,7h 52min,12:08 AM,8:19 AM
Aug 6-12,--,--,--,--,--,--
Jul 30 - Aug 5,74,Fair,7h 45min,7h 59min,12:35 AM,8:44 AM
Jul 23-29,75,Fair,7h 38min,7h 57min,1:13 AM,9:19 AM
Jul 16-22,65,Fair,6h 52min,8h 10min,1:43 AM,9:00 AM
Jul 9-15,70,Fair,7h 19min,8h 20min,1:56 AM,9:44 AM
Jul 2-8,72,Fair,6h 53min,8h 18min,1:44 AM,8:58 AM
Jun 25 - Jul 1,79,Fair,7h 40min,8h 2min,1:01 AM,8:53 AM
Jun 18-24,78,Fair,7h 22min,7h 50min,1:32 AM,9:01 AM
Jun 11-17,77,Fair,7h 35min,8h 0min,12:36 AM,8:31 AM
Jun 4-10,81,Good,7h 39min,8h 8min,12:12 AM,8:05 AM
May 28 - Jun 3,60,Fair,7h 6min,8h 8min,2:19 AM,10:04 AM
May 21-27,74,Fair,7h 22min,8h 25min,12:06 AM,7:46 AM
May 14-20,74,Fair,7h 10min,8h 6min,12:45 AM,8:15 AM
May 7-13,78,Fair,8h 4min,8h 10min,1:14 AM,9:38 AM
Apr 30 - May 6,84,Good,8h 20min,7h 42min,11:55 PM,8:24 AM
Apr 23-29,84,Good,8h 2min,8h 0min,11:35 PM,7:48 AM
Apr 16-22,83,Good,7h 45min,7h 57min,11:57 PM,7:53 AM
Apr 9-15,72,Fair,8h 10min,8h 4min,1:39 AM,10:13 AM
Apr 2-8,81,Good,7h 52min,7h 56min,12:10 AM,8:23 AM
Mar 26 - Apr 1,75,Fair,7h 47min,8h 1min,12:50 AM,9:27 AM
Mar 19-25,77,Fair,7h 39min,8h 9min,12:32 AM,8:35 AM
Mar 12-18,85,Good,7h 54min,8h 0min,11:15 PM,7:36 AM
Mar 5-11,84,Good,7h 20min,8h 0min,11:27 PM,7:01 AM
Feb 26 - Mar 4,--,--,--,--,--,--
Feb 19-25,--,--,--,--,--,--
Feb 12-18,--,--,--,--,--,--
Feb 5-11,--,--,--,--,--,--
Jan 29 - Feb 4,--,--,--,--,--,--
Jan 22-28,--,--,--,--,--,--
Jan 15-21,--,--,--,--,--,--
Jan 8-14,--,--,--,--,--,--
Jan 1-7,--,--,--,--,--,--
Dec 25-31, 2024,--,--,--,--,--,--
Dec 18-24, 2024,--,--,--,--,--,--
Dec 11-17, 2024,--,--,--,--,--,--
Dec 4-10, 2024,--,--,--,--,--,--
Nov 27 - Dec 3, 2024,--,--,--,--,--,--
Nov 20-26, 2024,--,--,--,--,--,--
Nov 13-19, 2024,--,--,--,--,--,--
Nov 6-12, 2024,--,--,--,--,--,--
Oct 30 - Nov 5, 2024,--,--,--,--,--,--
Oct 23-29, 2024,--,--,--,--,--,--
Oct 16-22, 2024,--,--,--,--,--,--
Oct 9-15, 2024,--,--,--,--,--,--
